order_id,customer_id,platform,city,category,quantity,mrp,selling_price,discount_percent,delivery_fee,promised_time,delivery_time,order_value,payment_mode,membership,coupon_used,weekend,rating,delivery_partner
10001,C1024,Blinkit,Hyderabad,Fruits,6,703,667.85,5,49.0,25,40,667.85,Card,Gold,Yes,No,4.0,Rider A
10002,C1030,Blinkit,Bengaluru,Personal Care,1,532,532.0,0,49.0,30,38,3724.0,UPI,Gold,Yes,Yes,3.0,Rider D
10003,C1157,,Chennai,Beverages,4,335,268.0,20,29.0,10,23,536.0,UPI,None,Yes,Yes,4.0,Rider E
10004,C1299,BigBasket Now,Mumbai,Dairy,4,915,640.5,30,19.0,20,29,2562.0,UPI,None,No,No,3.0,Rider D
10005,C1262,BigBasket Now,Bengaluru,Household,6,629,503.2,20,19.0,10,8,4025.6,Wallet,Gold,Yes,No,3.0,Rider C
10006,C1047,Instamart,Delhi,Personal Care,2,1057,845.6,20,0.0,25,22,4228.0,Wallet,Silver,No,No,1.0,Rider D
10007,C1252,Blinkit,Bengaluru,Household,5,767,728.65,5,19.0,30,28,2914.6,Wallet,Silver,No,Yes,2.0,Rider D
10008,C1220,Instamart,Pune,fruit,6,862,689.6,20,59.0,20,19,4827.2,Card,Gold,Yes,Yes,2.0,Rider B
10009,C1093,Instamart,Mumbai,Fruits,3,517,517.0,0,39.0,25,38,3102.0,COD,Gold,Yes,No,,Rider E
10010,C1053,BigBasket Now,Pune,Snacks,1,843,716.55,15,19.0,25,32,1433.1,Card,Silver,Yes,Yes,3.0,Rider E
10011,C1077,Blinkit,Mumbai,Beverages,1,147,147.0,0,0.0,10,23,588.0,Wallet,Gold,No,No,5.0,Rider C
10012,C1238,BigBasket Now,Delhi,Dairy,2,1011,1011.0,0,19.0,10,20,2022.0,COD,None,No,No,,Rider B
10013,C1185,Zepto,Pune,Beverages,1,1097,1097.0,0,49.0,15,26,5485.0,UPI,None,No,No,2.0,Rider C
